Company,Amount,Year
Daiichi Sankyo Inc,370000,2009
CCS Medical,362851,2009
Cangene Corp,360000,2009
Cltn for Competitive Pharma Marketing,360000,2009
Medical Device Manufacturers Assn,360000,2009
Cook Group,350000,2009
NxStage Medical,341000,2009
Alfred Mann Foundation,340000,2009
Alkermes Inc,325833,2009
Bavarian Nordic,325000,2009
Patton Medical Devices,325000,2009
Council on Radionuclides & Radiopharm,320000,2009
Inverness Medical Innovations,318000,2009
Hollister Inc,290000,2009
Martek Biosciences,280000,2009
Bracco Diagnostics,280000,2009
SonoSite Inc,270000,2009
Specialty & Biotech Distributors Assn,260000,2009
Otsuka Pharmaceutical,260000,2009
SIGA Technologies,260000,2009
Affymax Inc,260000,2009
American Orthotic & Prosthetic Assn,253500,2009
General Electric,249000,2009
Stryker Corp,241287,2009
Wright Medical Technology,240000,2009
Questcor Pharmaceuticals,240000,2009
PrimeraDx,240000,2009
Ocera Therapeutics,240000,2009
CSL Ltd,240000,2009
Djo Inc,240000,2009
America's Specialty Medicine Companies,240000,2009
Acorda Therapeutics,240000,2009
Hoveround Corp,230000,2009
Hearing Industries Assn,220000,2009
Momenta Pharmaceuticals,220000,2009
Pride Mobility Products,220000,2009
IOGEN Corp,216000,2009
Intersystems Corp,210000,2009
Alexion Pharmaceuticals,210000,2009
Alnylam Pharmaceuticals,200000,2009
3-V Biosciences,200000,2009
Centurion Medical Products,200000,2009
Clinical Data Inc,200000,2009
International Pharm Aerosol Consortium,200000,2009
Infinia Corp,200000,2009
Mead Johnson Nutritional,200000,2009
MedImpact Healthcare Systems Inc,200000,2009
Olympus Corp,200000,2009
Nanotherapeutics Inc,200000,2009
Z-Medica,200000,2009
Stowers Institute for Medical Research,200000,2009
Tethys Bioscience,190000,2009
Forest Laboratories,190000,2009
Cltn Open Access to Diabetes Supplies,190000,2009
Biocryst Pharmaceuticals,190000,2009
Amyris Biotech,190000,2009
Coalition for Plant & Life Science,180000,2009
Mentor Corp,180000,2009
Sirtex Medical,180000,2009
Morton Grove Pharmaceuticals Inc,170000,2009
Dey LP,170000,2009
Apollo Advisors,164954,2009
Analogic Corp,160000,2009
Academy of Radiology Research,160000,2009
Cleveland BioLabs,160000,2009
Cempra Pharmaceuticals,160000,2009
Biotech Research & Development Center,160000,2009
North American Rescue Products,160000,2009
TetraLogic Pharmaceuticals,160000,2009
Thermo Fisher Scientific,150000,2009
Osmotica Pharmaceuticals,150000,2009
Medical Imaging Contrast Agent Assn,140000,2009
Trius Therapeutics,140000,2009
Adamas Pharmaceuticals,140000,2009
Endocare Inc,140000,2009
Natural Products Assn,137600,2009
Safe Life Corp,130000,2009
United Therapeautics,130000,2009
Viagen Inc,130000,2009
Health Industry Distributors Assn,130000,2009
Hill Dermaceuticals,130000,2009
ITA Partners,130000,2009
Lanx LLC,130000,2009
Arteriocyte Inc,130000,2009
Calspan-Univ of Buffalo Research Center,130000,2009
Natl Coalition For Assistive/Rehab Tech,126000,2009
Philadelphia Health & Education Corp,120839,2009
Parion Sciences Inc,120000,2009
Royal DSM NV,120000,2009
Riverain Medical,120000,2009
Neuralstem,120000,2009
Michigan Biotechnology Institute,120000,2009
SW Foundation for Biomedical Research,120000,2009
STB Corp,120000,2009
Zimmer Holdings,120000,2009
Canada International Pharmacy Assn,120000,2009
C-Path Institute,120000,2009
Cell Therapeutics,120000,2009
Blood Cell Storage Inc,120000,2009
Brain Cells Inc,120000,2009
Advanced Analytical,120000,2009
Advanced BioHealing,120000,2009
Abiomed Inc,120000,2009
Achaogen,120000,2009
Alatech Healthcare,120000,2009
CR Bard Inc,120000,2009
King Pharmaceuticals,110000,2009
Intuitive Surgical,110000,2009
Vestara,110000,2009
Translational Genomics Research Inst,110000,2009
Novavax Inc,110000,2009
Iovate Health Sciences,109428,2009
Power Mobility Coalition,106761,2009
"Burnham at Lake Nona, Orlando",105000,2009
Natl Cltn of Pharmaceutical Distributors,102500,2009
KwikMed,102000,2009
Association of Medical Device Reprocessors,100000,2009
Onconova Therapeutics,100000,2009
Vivus Inc,100000,2009
United Natural Products Alliance,100000,2009
TherOx Inc,100000,2009
Orthovita,95000,2009
Seniors Coalition,94400,2009
Novavision Inc,90000,2009
Matritech,90000,2009
Medical Device Competitiveness Coalition,90000,2009
Theragenics Corp,90000,2009
Z-Gen,90000,2009
Asterand Inc,90000,2009
Arsenal Medical,90000,2009
Agios Pharmaceuticals,90000,2009
Abraxis BioScience,90000,2009
Admetech,90000,2009
Bioprotection Systems,90000,2009
Athena ISG/GTXtreme,90000,2009
CareFusion,90000,2009
Insmed,90000,2009
Jackson Laboratory,90000,2009
FluGen Inc,90000,2009
Hayes Inc,90000,2009
Retractable Technologies,85000,2009
Par Pharmaceutical Companies,80000,2009
Mendel Biotechnology,80000,2009
Medicines for Malaria Venture,80000,2009
Morphotek Inc,80000,2009
Millennium Laboratories,80000,2009
Mobile Medical International Corp,80000,2009
Mobilex USA,80000,2009
Ohio Willow Wood,80000,2009
National Center for Genome Resources,80000,2009
Thornhill Research,80000,2009
Soluble Systems,80000,2009
Health Hero Network,80000,2009
Fate Therapeutics,80000,2009
Finasi SPA,80000,2009
Covance Inc,80000,2009
DME Coalition,80000,2009
Intl Partnership for Microbicides,80000,2009
Lifespan,80000,2009
I-Flow Corp,80000,2009
Cellerant Therapeutics,80000,2009
Cerus Corp,80000,2009
Cochlear Corp,80000,2009
BioMarin Pharmaceutical,80000,2009
Ablitech Inc,80000,2009
Advanced Init in Medical Simulation,80000,2009
Assn of Clinical Research Organizations,80000,2009
Anzenna Inc,80000,2009
Arborgen,80000,2009
Perrigo Co,72000,2009
Research Corporation Technologies,72000,2009
National Alliance for Infusion Therapy,70000,2009
Variation Biotechnologies,70000,2009
Advanced Life Sciences,70000,2009
AeroCare Holdings,70000,2009
Buffalo Supply,70000,2009
Clasado Ltd,70000,2009
Electro Medical Systems,70000,2009
Contrafect,70000,2009
Salix Pharmaceuticals,69400,2009
Athena Biotechologies Inc,65000,2009
Pulmatrix Corp,64000,2009
Angiodynamics Inc,63000,2009
Aspect Medical Systems,60000,2009
American Medical Technologies,60000,2009
Akorn,60000,2009
Aldevron,60000,2009
Accuray Inc,60000,2009
Bioness Inc,60000,2009
CardioNet,60000,2009
Direct Supply Inc,60000,2009
Fresenius Medical Care,60000,2009
GeoVax Labs,60000,2009
Hologic Inc,60000,2009
Lannett Co,60000,2009
Psychemedics Corp,60000,2009
Minnesota Thermal Science,60000,2009
Tessarae Inc,60000,2009
Tetraphase Pharmaceuticals,60000,2009
Zimek Technologies,60000,2009
Diffusion Pharmaceuticals,55000,2009
Cryolife Inc,50000,2009
Genomatica,50000,2009
Gordian Medical Inc,50000,2009
IVIVI Technologies,50000,2009
Chimerix,50000,2009
Cold Spring Harbor Laboratory,50000,2009
Breckenridge Pharmaceutical,50000,2009
Body Media,50000,2009
XDX Inc,50000,2009
Volcano Corp,50000,2009
National Disease Research Interchange,50000,2009
S&S; Technology,50000,2009
P&G; Pharmaceuticals,50000,2009
Burnham Institute for Medical Research,45000,2009
CV Therapeutics,43200,2009
Semprus BioSciences,40797,2009
Osiris Therapeutics,40000,2009
Pdi Inc,40000,2009
Pennslyvania Biotechnology Assn,40000,2009
Pittsburgh Life Sciences Greenhouse,40000,2009
Planet Biotechnology,40000,2009
Orasure Technologies,40000,2009
Microban International,40000,2009
Massachusetts Biotechnology Council,40000,2009
West Wireless Health Institute,40000,2009
XStream Systems,40000,2009
YM BioSciences,40000,2009
Triax Pharmaceuticals,40000,2009
Tissue Regeneration Technologies,40000,2009
Constellation Technology,40000,2009
Dispensing Solutions,40000,2009
GenPhar Inc,40000,2009
Ension Inc,40000,2009
InstantLabs Medical Device Corp,40000,2009
Intl Assn Med Equip Remark & Servicers,40000,2009
Lasko Products,40000,2009
Inovio AS,40000,2009
Ikor Inc,40000,2009
Biotech-Pharma Advisory,40000,2009
Bioenterprise,40000,2009
Aurora Imaging Technology,40000,2009
Charlesson LLC,40000,2009
Cellular Bioengineering Inc,40000,2009
A Voice for All,40000,2009
Airlift Research Foundation,40000,2009
Aduro BioTech,40000,2009
American Herbal Products Assn,40000,2009
Spacelabs Healthcare,36000,2009
VJ Technologies,35000,2009
Molnlycke Health Care,35000,2009
American Bioindustry Alliance,35000,2009
Lion-Vallen Industries,35000,2009
Consortium for Plant Biotech Research,33000,2009
Coram Specialty Infusion Services,30000,2009
Council for American Medical Innovation,30000,2009
CyberKnife Coalition,30000,2009
DFB Pharmaceuticals,30000,2009
Fuller Rehab Independent Living Aids,30000,2009
Lifeblood Medical,30000,2009
Lehigh Valley Technologies,30000,2009
Implicit Corp,30000,2009
Incitor Llc,30000,2009
iBioPharma,30000,2009
Human Genome Sciences,30000,2009
HealthStar,30000,2009
Arbor Vita Corp,30000,2009
ARCA Biopharma,30000,2009
Arena Pharmaceuticals,30000,2009
Conjugon Inc,30000,2009
Molecular Insight Pharmaceuticals,30000,2009
Neuromonics Inc,30000,2009
MRE-Holding AS,30000,2009
Panflu,30000,2009
Smith & Nephew,30000,2009
ResMed Inc,30000,2009
Respironics Inc,30000,2009
Quintiles Transnational,30000,2009
Redfield Corp,30000,2009
Vaxdesign Corp,30000,2009
Syncro Medical Innovations,30000,2009
Taraxos,30000,2009
Neuromolecular Pharmaceuticals,25000,2009
Philips Electronics,24000,2009
Pharmaceutical Printed Literature Assn,20000,2009
Promedtek Inc,20000,2009
Quality Electrodynamics,20000,2009
Secant Pharma,20000,2009
Orchid Chemicals & Pharmaceuticals Ltd,20000,2009
Ortho Concepts,20000,2009
Nanobiosym Inc,20000,2009
Natl Assn Public Health Stat & Info Syst,20000,2009
Nephron Pharmaceutical Corp,20000,2009
Spaltudaq Corp,20000,2009
US Pharmaceutical Distributors Inc,20000,2009
Coloplast Corp,20000,2009
AVI BioPharma,20000,2009
Bioquiddity Inc,20000,2009
Agennix Inc,20000,2009
Aethon Inc,20000,2009
AlgiPharma AS,20000,2009
Hoana Medical,20000,2009
GlycoMimetics Inc,20000,2009
Luminex Corp,20000,2009
Exact Sciences Corp,20000,2009
Giner Inc,20000,2009
Menssana Research Inc,16600,2009
Barr Laboratories,16500,2009
Nabi Biopharmaceuticals,15000,2009
T2 Biosystems,15000,2009
Advanced Endoscopy Devices,12500,2009
Akrimax Pharmaceuticals,10000,2009
Aqua Bounty Technologies,10000,2009
ATI Corp,10000,2009
Graceway Pharmaceuticals,10000,2009
Edge Therapeutics Inc,10000,2009
Cyberkinetics Neurotechnology Systems,10000,2009
Masimo Corp,10000,2009
Lytex Biopharma AS,10000,2009
Kerr Corp,10000,2009
Healthpoint Ltd,10000,2009
Henry Schein Inc,10000,2009
Ibis Biosciences,10000,2009
Idaho Technologies,10000,2009
Temp Time Inc,10000,2009
Therapure Biopharma Inc,10000,2009
Texas Biological/Agro-Defense Consortium,10000,2009
USA Mobility,10000,2009
Traumacure,10000,2009
Vista Partners,10000,2009
Medivation,10000,2009
Mdg Medical,10000,2009
Pyng Medical,10000,2009
PharMerica Corp,10000,2009
Positron Corp,10000,2009
Cyberonics Inc,8000,2009
Resurgent Health & Medical,6000,2009
Zymogenetics Inc,5000,2009
Vivitrol Business Unit,0,2009
VaxGen Inc,0,2009
Vaxin Pharmaceuticals,0,2009
VaxInnate Corp,0,2009
Twin Star Medical,0,2009
Wound Management Technologies,0,2009
Zenda Technologies,0,2009
Xytis Inc,0,2009
TransGenRx Inc,0,2009
Thoratec Corp,0,2009
Solvay SA,0,2009
Stewart Jackson Pharmacal,0,2009
Stiefel Laboratories,0,2009
Synedgen Inc,0,2009
Synzyme Technologies,0,2009
Stratus Pharmaceuticals,0,2009
Sun Pharmaceutical Industries,0,2009
Sunrise Medical,0,2009
Prostrakan Inc,0,2009
Romark Laboratories,0,2009
Sam Medical Products,0,2009
sBioMed,0,2009
Primus Pharmaceuticals,0,2009
Physician Diagnostic Services,0,2009
Physician Sales & Service,0,2009
Otonomy Corp,0,2009
Pain Therapeutics,0,2009
Medicago,0,2009
MedNet Healthcare Technologies,0,2009
Medicis Pharmaceutical Corp,0,2009
Missouri Biotechnology Assn,0,2009
Mind Institute,0,2009
Merz Pharmaceuticals,0,2009
Mgi Pharma,0,2009
NanoViricides Inc,0,2009
MultiDimensional Imaging,0,2009
Mystic Pharmaceuticals,0,2009
National Assn Advancement of Orthotics/Prosthetics,0,2009
Orthocare Innovations,0,2009
Orthofix International,0,2009
Northfield Laboratories,0,2009
Nuero Kinetics,0,2009
Cytomedix Inc,0,2009
DexCom,0,2009
Elusys Therapeutics,0,2009
Dr Erich Hugo Cerny,0,2009
E-Z-EM Inc,0,2009
Globus Medical,0,2009
Genesoft Inc,0,2009
Galderma Laboratories,0,2009
Gambro AB,0,2009
Genelabs Technologies,0,2009
Fujirebio Diagnostics Inc,0,2009
Enterix,0,2009
Fleming Pharmaceuticals,0,2009
Foligo Therapeutics,0,2009
Humanetics Corp,0,2009
Infimed,0,2009
Insightec Inc,0,2009
Innovative Biotherapies,0,2009
Inologic,0,2009
Hematech Inc,0,2009
Healthcare Compliance Packaging Council,0,2009
Healthcare Waste/Emer Preparedness Cltn,0,2009
Integrated Medical Systems,0,2009
Magellan BioScience Group,0,2009
Life Medical Technologies,0,2009
Lauras AS,0,2009
Bacterin International,0,2009
Bioniche Life Sciences,0,2009
Biomedical Systems,0,2009
Biorelix,0,2009
Biovest International,0,2009
Blackrock Microsystems,0,2009
CNS Vital Signs,0,2009
Classic Optical Laboratories,0,2009
Cellectar Inc,0,2009
Anza Therapeutics,0,2009
American Medical Systems,0,2009
American Society for Microbiology,0,2009
Analiza Dx,0,2009
Adroit Medical Systems,0,2009
Actinium Pharmaceuticals,0,2009
Acambis Inc,0,2009
Pharmaceutical Research & Manufacturers of America,22600000,2010
Pfizer Inc,13330000,2010
Amgen Inc,10260000,2010
Sanofi-Aventis,8519000,2010
Biotechnology Industry Organization,8440000,2010
Merck & Co,7612510,2010
Eli Lilly & Co,7510000,2010
Novartis AG,7478000,2010
Johnson & Johnson,6700000,2010
GlaxoSmithKline,6070000,2010
AstraZeneca PLC,5790000,2010
Roche Holdings,5481267,2010
Abbott Laboratories,5040000,2010
Bayer AG,4743640,2010
Medtronic Inc,4069018,2010
Bristol-Myers Squibb,3933000,2010
Medicines Co,3700000,2010
Consumer Healthcare Products Assn,3563393,2010
Eisai Co Ltd,3560000,2010
Baxter International,3431000,2010
Teva Pharmaceutical Industries,2890000,2010
Merck KGaA,2760000,2010
CH Boehringer Sohn,2749940,2010
Genzyme Corp,2652000,2010
Pharmaceutical Care Management Assn,2274372,2010
Takeda Pharmaceutical Co,1961094,2010
Endo Pharmaceuticals,1950000,2010
Covidien Ltd,1940000,2010
Boston Scientific Corp,1900000,2010
Generic Pharmaceutical Assn,1858142,2010
Novo Nordisk Pharmaceuticals,1815000,2010
Astellas Pharma,1720000,2010
Watson Pharmaceuticals,1570000,2010
Gilead Sciences,1520000,2010
Allergan Inc,1500000,2010
Mylan Inc,1500000,2010
AdvaMed,1482048,2010
Cephalon Inc,1380000,2010
Cardinal Health,1305000,2010
Millennium/Takeda Oncology Co,1280000,2010
Celgene Corp,1240000,2010
Biogen Idec,1230000,2010
AmerisourceBergen Corp,1226145,2010
Academy of Radiology Research,1110000,2010
Colgate-Palmolive Co,1090000,2010
McKesson Corp,1063000,2010
Talecris Biotherapeutics,1020000,2010
Edwards Lifesciences,990000,2010
Vertex Pharmaceuticals,980000,2010
Invacare Corp,970000,2010
Genomic Health Inc,960000,2010
Amylin Pharmaceuticals,960000,2010
Lundbeck Inc,955000,2010
Life Technologies Corp,940000,2010
Prasco Labs,920000,2010
Healthcare Distribution Management Assn,894000,2010
Purdue Pharma,880000,2010
PharmAthene Inc,876953,2010
Sumitomo Chemical,815904,2010
Cubist Pharmaceuticals,740000,2010
Apotex Inc,690000,2010
St Jude Medical,690000,2010
Academy of Managed Care Pharmacies,677000,2010
Council for American Medical Innovation,640000,2010
Hospira Inc,610000,2010
Martek Biosciences,600000,2010
Diabetes Access to Care Coalition,590000,2010
Bavarian Nordic,530000,2010
Ranbaxy Inc,530000,2010
Coalition To Preserve DSHEA,525000,2010
"Becton, Dickinson & Co",520000,2010
Council for Responsible Nutrition,520000,2010
Plasma Protein Therapeutics Assn,520000,2010
Zimmer Inc,518038,2010
Steris Corp,510000,2010
Herbalife International,500000,2010
Biocryst Pharmaceuticals,490000,2010
SCOOTER Store,463500,2010
OSI Pharmaceuticals,450000,2010
Shire Plc,440000,2010
Welch Allyn Inc,440000,2010
Cook Group,440000,2010
Hill-Rom Holdings,440000,2010
Kinetic Concepts,430000,2010
Biomet Inc,420000,2010
King Pharmaceuticals,410000,2010
Apollo Advisors,404807,2010
Pharma Industry Labor Management Assn,403750,2010
Pacific Pulmonary Services,400000,2010
Varian Medical Systems,400000,2010
Alexion Pharmaceuticals,380000,2010
Daiichi Sankyo Inc,370000,2010
Council on Radionuclides & Radiopharm,360000,2010
Medical Device Manufacturers Assn,360000,2010
Bracco Diagnostics,360000,2010
CCS Medical,355000,2010
Alere Inc,350000,2010
Mobile Medical International Corp,350000,2010
XOMA,340000,2010
Bioscrip Inc,335000,2010
Breckenridge Pharmaceutical,330000,2010
Alfred Mann Foundation,320000,2010
Vivus Inc,320000,2010
Questcor Pharmaceuticals,320000,2010
Healthcare Institute of New Jersey,318220,2010
Pride Mobility Products,315000,2010
Hollister Inc,280000,2010
CSL Ltd,270000,2010
Natl Coalition For Assistive/Rehab Tech,265642,2010
Infinia Corp,250000,2010
Intuitive Surgical,245000,2010
Djo Inc,240000,2010
Affymax Inc,240000,2010
Advanced BioHealing,240000,2010
America's Specialty Medicine Companies,240000,2010
Concert Pharmaceuticals,240000,2010
Z-Medica,240000,2010
Panflu,230000,2010
American Orthotic & Prosthetic Assn,225800,2010
Immediate Response Technologies,225000,2010
Intersystems Corp,220000,2010
Hearing Industries Assn,220000,2010
Cangene Corp,220000,2010
Amphastar Pharmaceuticals,210000,2010
Acorda Therapeutics,210000,2010
Patton Medical Devices,206000,2010
Morton Grove Pharmaceuticals Inc,200000,2010
Translational Genomics Research Inst,200000,2010
ARCA Biopharma,200000,2010
CoDa Therapeutics,200000,2010
Medical Device Competitiveness Coalition,195000,2010
Zimmer Holdings,195000,2010
Alkermes Inc,192531,2010
Amyris Biotech,190000,2010
Genencor International,190000,2010
Mead Johnson Nutritional,185000,2010
Meda Pharmaceuticals,180000,2010
Abraxis BioScience,180000,2010
Cell Therapeutics,180000,2010
Otsuka Pharmaceutical,180000,2010
PrimeraDx,180000,2010
Safe Life Corp,180000,2010
Tethys Bioscience,172000,2010
Product Partners LLC,170000,2010
Avantis Medical Systems,170000,2010
Natl Cltn of Pharmaceutical Distributors,165000,2010
Otonomy Corp,160000,2010
Mentor Corp,160000,2010
SIGA Technologies,160000,2010
Accuray Inc,160000,2010
CareFusion,160000,2010
Clinical Data Inc,160000,2010
Biotech Research & Development Center,160000,2010
Medical Imaging Contrast Agent Assn,160000,2010
Hologic Inc,160000,2010
CR Bard Inc,160000,2010
Estill Medical Technologies,150000,2010
IOGEN Corp,150000,2010
Calspan-Univ of Buffalo Research Center,150000,2010
Bioness Inc,150000,2010
Admetech,150000,2010
Orthocare Innovations,150000,2010
Z-Gen,150000,2010
Iovate Health Sciences,144000,2010
Arborgen,140000,2010
TherOx Inc,140000,2010
Osmotica Pharmaceuticals,140000,2010
SonoSite Inc,140000,2010
Stowers Institute for Medical Research,140000,2010
T2 Biosystems,137500,2010
Isis Pharmaceuticals,135000,2010
Gordian Medical Inc,130000,2010
Calypso Medical Technologies,130000,2010
Canada International Pharmacy Assn,130000,2010
Catalyst Health Solutions,130000,2010
Philadelphia Health & Education Corp,120206,2010
Riverain Medical,120000,2010
Temp Time Inc,120000,2010
Royal DSM NV,120000,2010
Pdi Inc,120000,2010
Neuralstem,120000,2010
Novavax Inc,120000,2010
Millennium Laboratories,120000,2010
Mendel Biotechnology,120000,2010
Variation Biotechnologies,120000,2010
United Natural Products Alliance,120000,2010
C-Path Institute,120000,2010
Clasado Ltd,120000,2010
Blood Cell Storage Inc,120000,2010
Azevan Pharmaceuticals,120000,2010
Advanced Analytical,120000,2010
Abiomed Inc,120000,2010
Health Industry Distributors Assn,120000,2010
General Electric,120000,2010
Electro Medical Systems,120000,2010
Medicines for Malaria Venture,120000,2010
Natural Products Assn,117600,2010
Viagen Inc,115000,2010
AxoGen Inc,114000,2010
Cleveland BioLabs,110000,2010
Cltn for Competitive Pharma Marketing,110000,2010
Medicago,110000,2010
Hayes Inc,110000,2010
HealthStar,110000,2010
Stryker Corp,110000,2010
Pyng Medical,110000,2010
Lifespan,100000,2010
3-V Biosciences,100000,2010
Assn of Clinical Research Organizations,100000,2010
Alnylam Pharmaceuticals,100000,2010
Zimek Technologies,99000,2010
Dendreon Corp,95000,2010
Embria Health Sciences,92800,2010
NxStage Medical,91500,2010
Olympus Corp,90000,2010
PatientSafe Solutions,90000,2010
Merit Medical Systems,90000,2010
STB Corp,90000,2010
Specialty & Biotech Distributors Assn,90000,2010
SW Foundation for Biomedical Research,90000,2010
Wockhardt USA,90000,2010
Fate Therapeutics,90000,2010
Insmed,90000,2010
Merz Pharmaceuticals,80700,2010
Missouri Biotechnology Assn,80000,2010
Morphotek Inc,80000,2010
Taraxos,80000,2010
Promedtek Inc,80000,2010
Redfield Corp,80000,2010
Intl Partnership for Microbicides,80000,2010
Hoveround Corp,80000,2010
Incitor Llc,80000,2010
Lanx LLC,80000,2010
Jarrow Formulas,80000,2010
Genomatica,80000,2010
DME Coalition,80000,2010
Dymedix Corp,80000,2010
Covance Inc,80000,2010
Association of Medical Device Reprocessors,80000,2010
Advanced Life Sciences,80000,2010
Agios Pharmaceuticals,80000,2010
Coalition for Plant & Life Science,80000,2010
Cochlear Corp,80000,2010
Cerus Corp,80000,2010
Cellerant Therapeutics,80000,2010
Bioject Medical Technologies,80000,2010
Body Media,80000,2010
Bioprotection Systems,80000,2010
Advanced Cell Technology,75000,2010
Perrigo Co,72000,2010
Orthovita,72000,2010
Positron Corp,70000,2010
Airlift Research Foundation,70000,2010
Asterand Inc,70000,2010
Athena ISG/GTXtreme,70000,2010
ATI Corp,70000,2010
Cold Spring Harbor Laboratory,70000,2010
FluGen Inc,70000,2010
Exact Sciences Corp,70000,2010
Cyberonics Inc,69000,2010
Pulmatrix Corp,65000,2010
Minnesota Thermal Science,65000,2010
Murfreesboro Pharm Nursing Supply,60000,2010
National Alliance for Infusion Therapy,60000,2010
Organogenesis Inc,60000,2010
Qiagen NV,60000,2010
Spiracur,60000,2010
Salix Pharmaceuticals,60000,2010
Sorenson Group Management,60000,2010
XenoPort Inc,60000,2010
West Wireless Health Institute,60000,2010
Velico Medical,60000,2010
Tetraphase Pharmaceuticals,60000,2010
Trius Therapeutics,60000,2010
GeoVax Labs,60000,2010
Koronis Pharmaceuticals,60000,2010
Henry Schein Inc,60000,2010
Insulet Corp,60000,2010
Burnham Institute for Medical Research,60000,2010
Accudial Pharmaceutical,60000,2010
Boiron USA,54000,2010
ContourMed,50000,2010
Centurion Medical Products,50000,2010
Ablitech Inc,50000,2010
Aduro BioTech,50000,2010
Lasko Products,50000,2010
Graceway Pharmaceuticals,50000,2010
Theragenics Corp,50000,2010
Thornhill Research,50000,2010
Volcano Corp,50000,2010
Vista Partners,50000,2010
Quality Electrodynamics,50000,2010
Nuero Kinetics,50000,2010
National Center for Genome Resources,50000,2010
National Disease Research Interchange,50000,2010
Natl Assn Public Health Stat & Info Syst,50000,2010
Momenta Pharmaceuticals,50000,2010
KwikMed,49500,2010
Massachusetts Biotechnology Council,45000,2010
InstantLabs Medical Device Corp,45000,2010
Arteriocyte Inc,45000,2010
Semprus BioSciences,44000,2010
Spacelabs Healthcare,42200,2010
Delcath Systems,42000,2010
CyberKnife Coalition,40000,2010
Dispensing Solutions,40000,2010
GlycoMimetics Inc,40000,2010
Fresenius Medical Care,40000,2010
Intercell USA,40000,2010
International Pharm Aerosol Consortium,40000,2010
Intl Assn Med Equip Remark & Servicers,40000,2010
Ikor Inc,40000,2010
InCode BioPharmaceutics,40000,2010
Matritech,40000,2010
Marinus Pharmaceuticals,40000,2010
Jackson Laboratory,40000,2010
Lion-Vallen Industries,40000,2010
Biotech-Pharma Advisory,40000,2010
Cellular Bioengineering Inc,40000,2010
Constellation Technology,40000,2010
Advaxis Inc,40000,2010
Aqua Bounty Technologies,40000,2010
American Herbal Products Assn,40000,2010
MedImpact Healthcare Systems Inc,40000,2010
Orasure Technologies,40000,2010
Ohio Willow Wood,40000,2010
Pharma Services Acquisition Corp,40000,2010
VJ Technologies,40000,2010
Research Corporation Technologies,36000,2010
Retractable Technologies,35000,2010
Ension Inc,35000,2010
Healthsport Inc,32500,2010
Forest Laboratories,30000,2010
Doctor Diabetic Supply,30000,2010
Cryolife Inc,30000,2010
HomeMed,30000,2010
iPierian Inc,30000,2010
American Assn of Homeopathic Pharmacists,30000,2010
Amicus Therapeutics,30000,2010
Advanced Cancer Therapeutics,30000,2010
Akers Biosciences,30000,2010
Solvay SA,30000,2010
Sova Pharmaceuticals,30000,2010
North American Rescue Products,30000,2010
Nanotherapeutics Inc,30000,2010
United States Medical Supply,30000,2010
Tissue Regeneration Technologies,30000,2010
Texas Biomedical Research Institute,30000,2010
XDX Inc,30000,2010
Zephyr Technology Corp,30000,2010
Ziopharm Oncology Inc,30000,2010
Vertos Medical,28000,2010
Adroit Medical Systems,26000,2010
Advanced Endoscopy Devices,25000,2010
Medicis Pharmaceutical Corp,25000,2010
Intl Contrast Ultrasound Society,20000,2010
Inovio AS,20000,2010
Diffusion Pharmaceuticals,20000,2010
Direct Supply Inc,20000,2010
Eckert & Ziegler Radiation & Medical,20000,2010
Edge Therapeutics Inc,20000,2010
Advanced Init in Medical Simulation,20000,2010
Aethlon Medical,20000,2010
Alliance for Safe Online Pharmacies,20000,2010
Analogic Corp,20000,2010
Contrafect,20000,2010
Biovest International,20000,2010
Brain Cells Inc,20000,2010
US Diagnostics,20000,2010
Trident USA Health Services,20000,2010
Molecular Insight Pharmaceuticals,20000,2010
Par Pharmaceutical Companies,20000,2010
Sorenson Communications,20000,2010
Smith & Nephew,20000,2010
Pittsburgh Life Sciences Greenhouse,20000,2010
Pharmaceutical Printed Literature Assn,20000,2010
iBioPharma,18000,2010
Accredited Medical Equipment Providers,15000,2010
Philips Electronics,12000,2010
Romark Laboratories,10000,2010
Neuromonics Inc,10000,2010
Ortho Concepts,10000,2010
Onconova Therapeutics,10000,2010
National Assn Advancement of Orthotics/Prosthetics,10000,2010
Microban International,10000,2010
AlgiPharma AS,10000,2010
Bioquiddity Inc,10000,2010
Bioenterprise,10000,2010
Consortium for Plant Biotech Research,10000,2010
Cellectar Inc,10000,2010
Independence Medical,10000,2010
MedEnvios Healthcare,10000,2010
Curemark LLC,10000,2010
Healthcare Waste/Emer Preparedness Cltn,10000,2010
HemCon Medical Technologies,10000,2010
Advanced Diabetes Supply,5000,2010
AeroCare Holdings,0,2010
Akrimax Pharmaceuticals,0,2010
Alatech Healthcare,0,2010
Active Life Technologies,0,2010
Adamas Pharmaceuticals,0,2010
Anzenna Inc,0,2010
Arena Pharmaceuticals,0,2010
AVI BioPharma,0,2010
American Medical Systems,0,2010
American Society for Microbiology,0,2010
Analiza Dx,0,2010
CardioNet,0,2010
Cempra Pharmaceuticals,0,2010
Conceptus Inc,0,2010
CliniComp International,0,2010
Bacterin International,0,2010
BioMarin Pharmaceutical,0,2010
Biomedical Systems,0,2010
Bioniche Life Sciences,0,2010
Blackrock Microsystems,0,2010
Buffalo Supply,0,2010
Hill Dermaceuticals,0,2010
Globus Medical,0,2010
Fujirebio Diagnostics Inc,0,2010
Enterix,0,2010
Genesoft Inc,0,2010
Cytomedix Inc,0,2010
